bin,range_profile_i,range_profile_q
0,1,-1
1,0,-1
2,-1,-2
3,-2,-2
4,-2,-2
5,-1,-2
6,0,-4
7,-1,-4
8,-2,-4
9,-1,-3
10,2,-3
11,1,-4
12,2,-3
13,1,-4
14,2,-3
15,2,-2
16,3,-3
17,1,-3
18,2,-1
19,2,-2
20,3,-2
21,5,-1
22,4,-1
23,4,0
24,4,-1
25,2,0
26,2,1
27,3,1
28,2,2
29,1,2
30,1,2
31,0,2
32,0,2
33,0,2
34,-1,1
35,-2,2
36,-2,2
37,-1,1
38,-2,0
39,-3,-1
40,-3,1
41,-3,1
42,-2,0
43,-2,0
44,-3,-1
45,-3,-2
46,-3,-3
47,-3,-3
48,-2,-3
49,-4,-4
50,-4,-4
51,-3,-4
52,-3,-3
53,-2,-3
54,0,-4
55,1,-4
56,1,-4
57,2,-4
58,1,-4
59,2,-4
60,1,-3
61,2,-2
62,2,-2
63,2,-2
64,2,-2
65,2,-2
66,2,-1
67,2,0
68,2,0
69,2,0
70,2,-1
71,1,0
72,1,1
73,1,1
74,1,2
75,0,2
76,0,3
77,-1,2
78,-2,2
79,0,2
80,-1,1
81,-3,0
82,-4,1
83,-3,1
84,-3,0
85,-4,-1
86,-2,-1
87,-3,0
88,-4,-1
89,-3,-1
90,-3,-1
91,-2,-3
92,-3,-1
93,-3,-2
94,-3,-2
95,-4,-3
96,-2,-3
97,-3,-3
98,-3,-3
99,-3,-3
100,-2,-4
101,0,-4
102,-1,-4
103,0,-4
104,1,-4
105,1,-5
106,2,-5
107,0,-3
108,1,-2
109,1,-2
110,2,-1
111,1,-2
112,2,-1
113,1,0
114,2,2
115,2,2
116,2,2
117,2,1
118,0,1
119,0,1
120,0,1
121,-1,1
122,0,2
123,-1,2
124,-1,1
125,-1,1
126,-2,2
127,-3,1
128,-3,1
129,-2,0
130,-4,1
131,-3,-1
132,-3,0
133,-3,-1
134,-3,-1
135,-3,-3
136,-3,-2
137,-3,-2
138,-2,-2
139,-2,-3
140,-1,-4
141,-1,-4
142,-1,-4
143,-1,-4
144,-1,-3
145,-1,-4
146,0,-3
147,1,-4
148,0,-4
149,0,-3
150,-1,-3
151,0,-2
152,1,-3
153,1,-3
154,1,-1
155,0,0
156,0,-2
157,1,-1
158,1,-1
159,1,1
160,1,0
161,1,0
162,1,1
163,0,1
164,1,1
165,1,1
166,0,1
167,-1,0
168,-2,0
169,-2,0
170,-2,1
171,-2,1
172,-3,0
173,-2,0
174,-2,1
175,-3,-1
176,-4,-1
177,-3,-1
178,-3,-2
179,-3,-3
180,-3,-2
181,-4,-3
182,-4,-3
183,-2,-2
184,-2,-3
185,-3,-3
186,-2,-4
187,0,-4
188,-1,-3
189,0,-4
190,0,-5
191,0,-5
192,-1,-5
193,0,-4
194,0,-4
195,1,-3
196,0,-3
197,0,-3
198,1,-3
199,1,-3
200,1,-1
201,0,-2
202,1,-2
203,1,-2
204,1,-1
205,1,-2
206,2,-1
207,2,0
208,2,0
209,2,-1
210,2,0
211,2,0
212,0,-1
213,0,-1
214,0,0
215,0,2
216,-1,2
217,-1,0
218,-1,0
219,-2,1
220,-2,0
221,-2,0
222,-2,0
223,-2,-1
224,-2,-1
225,-3,-1
226,-3,-2
227,-2,-1
228,-1,-1
229,-1,-2
230,-2,-3
231,-1,-3
232,-1,-3
233,-1,-3
234,-1,-4
235,0,-4
236,0,-2
237,0,-3
238,0,-4
239,1,-3
240,0,-3
241,0,-3
242,0,-3
243,0,-2
244,1,-2
245,0,-2
246,2,-1
247,1,-2
248,2,-2
249,2,-2
250,1,-1
251,0,-1
252,1,-1
253,1,-1
254,1,0
255,0,1
256,0,0
257,2,1
258,0,1
259,0,0
260,0,-1
261,-1,0
262,-2,0
263,-2,0
264,-1,0
265,-2,-1
266,-1,-1
267,-3,-1
268,-3,-1
269,-3,-1
270,-1,-1
271,-2,-2
272,-3,-3
273,-3,-3
274,-3,-3
275,-3,-2
276,-3,-2
277,-3,-3
278,-3,-3
279,-3,-2
280,-3,-3
281,-1,-3
282,-1,-2
283,0,-3
284,0,-3
285,0,-2
286,0,-2
287,0,-3
288,2,-2
289,1,-1
290,0,-2
291,1,-2
292,1,-1
293,1,0
294,1,0
295,1,0
296,1,0
297,0,0
298,0,1
299,1,1
300,0,1
301,0,2
302,0,2
303,0,2
304,-1,1
305,0,2
306,-2,1
307,-2,1
308,-3,1
309,-3,1
310,-1,0
311,-3,-1
312,-2,-1
313,-3,-2
314,-2,-1
315,-2,-1
316,-3,-2
317,-2,-2
318,-2,-2
319,-3,-3
320,-3,-2
321,-1,-2
322,-2,-2
323,-1,-2
324,1,-2
325,-1,-2
326,0,-2
327,1,-2
328,1,-2
329,1,-4
330,1,-3
331,0,-4
332,0,-3
333,1,-2
334,0,-3
335,1,-2
336,0,0
337,0,-1
338,1,0
339,1,-1
340,1,0
341,1,0
342,0,1
343,0,1
344,1,1
345,0,0
346,0,1
347,1,0
348,0,0
349,0,0
350,-1,0
351,-2,0
352,-2,1
353,-3,1
354,-2,-1
355,-1,1
356,-1,0
357,-2,0
358,-2,-1
359,-3,-1
360,-3,-2
361,-1,-2
362,-2,-2
363,-2,-1
364,-2,-2
365,-1,-3
366,-2,-3
367,0,-3
368,0,-3
369,0,-3
370,-2,-2
371,0,-3
372,0,-3
373,0,-3
374,1,-3
375,1,-3
376,0,-3
377,0,-3
378,0,-1
379,0,-1
380,-1,-1
381,0,-1
382,1,1
383,2,1
384,0,-1
385,0,0
386,0,0
387,0,0
388,1,1
389,1,0
390,1,0
391,0,-1
392,-1,0
393,-1,0
394,-2,0
395,-2,0
396,-3,0
397,-2,1
398,-2,1
399,-1,1
400,-1,0
401,-3,0
402,-2,0
403,-3,-1
404,-2,0
405,-1,-1
406,-3,-2
407,-2,-2
408,-3,-2
409,-3,-2
410,-2,-2
411,-2,-2
412,-1,-2
413,-2,-3
414,0,-2
415,-1,-2
416,0,-2
417,1,-3
418,1,-3
419,2,-1
420,1,-3
421,0,-2
422,1,-1
423,3,-2
424,1,-2
425,0,-2
426,1,-1
427,0,0
428,0,-1
429,0,1
430,0,0
431,1,0
432,0,0
433,0,1
434,1,0
435,0,0
436,-1,0
437,-1,0
438,-2,0
439,-1,0
440,-1,0
441,-2,0
442,-4,0
443,-3,0
444,-3,0
445,-2,-1
446,-3,0
447,-4,0
448,-3,-1
449,-3,-1
450,-4,-1
451,-3,-1
452,-3,-1
453,-2,-3
454,-2,-2
455,-2,-3
456,-2,-3
457,-2,-4
458,-2,-3
459,-2,-2
460,0,-1
461,0,-3
462,0,-5
463,1,-3
464,2,-4
465,1,-4
466,1,-4
467,1,-3
468,2,-4
469,1,-3
470,1,-2
471,2,0
472,2,-2
473,2,-2
474,2,-2
475,1,0
476,0,0
477,1,0
478,1,1
479,1,0
480,0,0
481,1,0
482,1,0
483,-2,-1
484,-1,1
485,-1,0
486,-2,-1
487,-2,0
488,-2,2
489,-1,0
490,-2,-1
491,-1,-1
492,-3,-2
493,-2,-1
494,-3,-2
495,-2,-3
496,-3,-3
497,-3,-2
498,-2,-3
499,-3,-2
500,-2,-2
501,-1,-3
